Timepoint,Split,GT_px,RF_Dice,RF_IoU,Otsu_Dice,Otsu_IoU,Hyst_Dice,Hyst_IoU
100,Test,3481,0.6850430696945967,0.5209623630300143,0.241962951378028,0.13763245294954926,0.17978978901428092,0.09877418988706657
110,Test,3082,0.7192333557498318,0.561564715148333,0.19931895573212258,0.11069087241553202,0.14826217678893566,0.08006650559842049
180,Train,2497,0.5240666823197934,0.3550747693286669,0.21016260162601627,0.11741994094935271,0.12953998584571833,0.06925568302206617
190,Test,2462,0.6327102803738318,0.46274777853725224,0.28562248995983935,0.16660419790104947,0.15099528548978522,0.08166300729513422
200,Train,2334,0.6359021688970927,0.46617050067659,0.2891311994372142,0.1689967105263158,0.1437121852839763,0.07741912872813934
